folder path,File name,Extension,Size (KB),Created Date
C:/Users/XXX/OneDrive/Apps\Clipchamp Classic,clipchampPreferences.json,.json,0,12/21/2025
C:/Users/XXX/OneDrive/Documents\Filemngmt\bin\Debug\net6.0-windows,Filemngmt.deps.json,.json,0.41,7/10/2022
C:/Users/XXX/OneDrive/Documents\Filemngmt\bin\Debug\net6.0-windows,Filemngmt.runtimeconfig.json,.json,0.26,7/10/2022
C:/Users/XXX/OneDrive/Documents\Filemngmt\obj,Filemngmt.vbproj.nuget.dgspec.json,.json,2.1,7/10/2022
C:/Users/XXX/OneDrive/Documents\Filemngmt\obj,project.assets.json,.json,2.03,7/10/2022
C:/Users/XXX/OneDrive/Documents\Filemngmt\obj\Debug\net6.0-windows,Filemngmt.designer.deps.json,.json,0.2,7/10/2022
C:/Users/XXX/OneDrive/Documents\Filemngmt\obj\Debug\net6.0-windows,Filemngmt.designer.runtimeconfig.json,.json,0.49,7/10/2022
C:/Users/XXX/OneDrive/Documents\My Tableau Repository\Datasources,datapackage.json,.json,1.6,5/25/2020
C:/Users/XXX/OneDrive/Documents\Python Scripts\.vs,PythonSettings.json,.json,0.06,7/24/2022
C:/Users/XXX/OneDrive/Documents\Python Scripts\.vs,VSWorkspaceState.json,.json,0.12,7/24/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\.vs,VSWorkspaceState.json,.json,0.12,7/9/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\bin\Debug\net6.0-windows,Simpleform.deps.json,.json,0.41,7/4/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\bin\Debug\net6.0-windows,Simpleform.runtimeconfig.json,.json,0.26,7/4/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\obj,project.assets.json,.json,2.04,7/4/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\obj,Simpleform.vbproj.nuget.dgspec.json,.json,2.11,7/4/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\obj\Debug\net6.0-windows,Simpleform.designer.deps.json,.json,0.2,7/4/2022
C:/Users/XXX/OneDrive/Documents\Simpleform\obj\Debug\net6.0-windows,Simpleform.designer.runtimeconfig.json,.json,0.49,7/4/2022
C:/Users/XXX/OneDrive/Documents\UDEMY_Python\.vs,VSWorkspaceState.json,.json,0.12,7/24/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio 2022\Code Snippets\.vs,VSWorkspaceState.json,.json,0.2,7/23/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app,package-lock.json,.json,1097.36,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app,package.json,.json,0.79,3/27/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules,.package-lock.json,.json,606.84,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@ampproject\remapping,package.json,.json,1.84,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@ampproject\remapping\dist,remapping.umd.js,.js,12.92,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\code-frame,package.json,.json,0.78,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\code-frame\lib,index.js,.js,4.6,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,corejs2-built-ins.js,.js,0.06,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,corejs3-shipped-proposals.js,.js,0.07,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,native-modules.js,.js,0.05,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,overlapping-plugins.js,.js,0.06,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,package.json,.json,1.09,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,plugin-bugfixes.js,.js,0.06,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data,plugins.js,.js,0.05,3/22/2022
C:/Users/XXX/OneDrive/Documents\Visual Studio UDEMY\my-app\my-app\node_modules\@babel\compat-data\data,corejs2-built-ins.json,.json,33.34,3/22/2022
